sport_level,location_type,licensee,tier_1_wagers,tier_1_handle,tier_2_wagers,tier_2_handle,month,numerical_month,year,total_wager,total_handle
College,Total,Elgin Riverboat Resort,48020,9845689.13,358,55677.63,March,3,2021,48378,9901366.76
College,Total,"Fairmount Park, Inc.",773894,30639580,366001,28877087,March,3,2021,1139895,59516667
College,Total,"Hawthorne Race Course, Inc.",233835,12312991.62,88155,9974234.3,March,3,2021,321990,22287225.92
College,Total,"HC Aurora, LLC",199317,12916669.37,137878,10520074.26,March,3,2021,337195,23436743.63
College,Total,"HC Joliet, LLC",3617,443639.89,1323,169753.4,March,3,2021,4940,613393.29
College,Total,"Midwest Gaming & Entertainment, LLC",559822,24551387.71,250037,21261051.02,March,3,2021,809859,45812438.73
College,Total,Par-A-Dice Gaming Corporation,1229,284191.5,172,57770,March,3,2021,1401,341961.5
Motor Race,In-Person Wagering,"Alton Casino, LLC",257,9712.14,30,735.1,March,3,2021,287,10447.24
Motor Race,In-Person Wagering,"Casino Queen, Inc.",0,0,0,0,March,3,2021,0,0
Motor Race,In-Person Wagering,Elgin Riverboat Resort,73,6338,4,400,March,3,2021,77,6738
Motor Race,In-Person Wagering,"Fairmount Park, Inc.",10,180,7,40,March,3,2021,17,220
Motor Race,In-Person Wagering,"Hawthorne Race Course, Inc.",26,1896,0,0,March,3,2021,26,1896
Motor Race,In-Person Wagering,"HC Aurora, LLC",73,785,26,310,March,3,2021,99,1095
Motor Race,In-Person Wagering,"HC Joliet, LLC",147,1565.11,19,365,March,3,2021,166,1930.11
Motor Race,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",108,9425.39,46,1901.82,March,3,2021,154,11327.21
Motor Race,In-Person Wagering,Par-A-Dice Gaming Corporation,75,815,0,0,March,3,2021,75,815
Motor Race,Online Wagering,"Alton Casino, LLC",0,0,0,0,March,3,2021,0,0
Motor Race,Online Wagering,"Casino Queen, Inc.",31438,240958.98,15434,134653.6,March,3,2021,46872,375612.58
Motor Race,Online Wagering,Elgin Riverboat Resort,371,10962.09,38,5390.91,March,3,2021,409,16353
Motor Race,Online Wagering,"Fairmount Park, Inc.",12335,141396,491,5564,March,3,2021,12826,146960
Motor Race,Online Wagering,"Hawthorne Race Course, Inc.",2143,34971.8,109,2352.46,March,3,2021,2252,37324.26
Motor Race,Online Wagering,"HC Aurora, LLC",1686,21189,1690,37518,March,3,2021,3376,58707
Motor Race,Online Wagering,"HC Joliet, LLC",0,0,0,0,March,3,2021,0,0
